feature,mean_abs_shap
monsoon_day,5.5983696
day_of_year,2.8268135
olr_climatology,0.4167099
rain_30d,0.21329188
rain_days_15d,0.21077658
month,0.17401014
rain_15d,0.13420433
rain_days_7d,0.11288002
dmi,0.10216999
RMM1,0.07661151
rain_5d,0.0655751
consecutive_dry_days,0.064896986
olr_5d_mean,0.052928843
rh925,0.052508317
rainfall_mm,0.047226563
rain_3d,0.046588857
speed925,0.043833032
olr_anomaly,0.043227658
rain_7d,0.04271045
wind_shear,0.039190188
dry_days_15d,0.03808505
oni,0.03482108
u925,0.029376525
speed850,0.026424658
RMM2,0.025997162
u850,0.023040084
v850,0.022951128
rh850,0.022521386
amplitude,0.02231665
v925,0.021786543
olr,0.020508392
dry_days_7d,0.019703615
olr_3d_mean,0.014590383
phase,0.011138519
