model,feature,shap_value,abs_shap_value,feature_value
onset_7d,monsoon_day,-7.049174,7.049174,153.0
onset_7d,day_of_year,-2.2841265,2.2841265,274.0
onset_7d,month,-0.2636092,0.2636092,9.0
onset_7d,rain_days_15d,0.18728513,0.18728513,4.0
onset_7d,olr_climatology,0.15233147,0.15233147,225.9872932434082
onset_7d,consecutive_dry_days,0.1342331,0.1342331,5.0
onset_7d,RMM1,-0.120633826,0.120633826,-1.5339346
onset_7d,rain_15d,0.1074353,0.1074353,100.08527521083418
onset_7d,dmi,-0.084878705,0.084878705,0.115
onset_7d,rh925,0.057321936,0.057321936,77.45356855496863
onset_7d,wind_shear,0.054137994,0.054137994,1.505293272481795
onset_7d,speed925,0.047675617,0.047675617,1.9920198563296012
onset_7d,rain_days_7d,0.043403175,0.043403175,2.0
onset_7d,rain_5d,0.039818965,0.039818965,1.7058802829009148
onset_7d,dry_days_15d,0.033242114,0.033242114,11.0
onset_7d,olr_anomaly,0.032007407,0.032007407,25.30270004272461
onset_7d,u850,0.02161678,0.02161678,-0.6482907641137757
onset_7d,RMM2,0.01938551,0.01938551,-0.53304839
onset_7d,rain_7d,0.015254317,0.015254317,42.35697447824007
onset_7d,dry_days_7d,0.013280739,0.013280739,5.0
onset_7d,olr,0.012219237,0.012219237,251.2899932861328
onset_7d,rain_3d,0.011767889,0.011767889,0.0
onset_7d,u925,0.011297726,0.011297726,-0.31750634670230277
onset_7d,olr_3d_mean,-0.010811772,0.010811772,254.86666361490884
onset_7d,oni,-0.0095234625,0.0095234625,-0.1
onset_7d,rainfall_mm,-0.0067902743,0.0067902743,0.0
onset_7d,olr_5d_mean,0.0050776065,0.0050776065,248.19599609375
onset_7d,v850,-0.0049743825,0.0049743825,-0.4547154966596697
onset_7d,phase,-0.0037071072,0.0037071072,1.0
onset_7d,amplitude,0.0035759858,0.0035759858,1.6239138
onset_7d,v925,0.0017171612,0.0017171612,-1.1635811441189967
onset_7d,rh850,0.00078429887,0.00078429887,89.03067389828473
onset_7d,rain_30d,0.00048410622,0.00048410622,121.50315669780535
onset_7d,speed850,0.0004777153,0.0004777153,1.200301497652095
onset_14d,monsoon_day,-7.9168406,7.9168406,153.0
onset_14d,day_of_year,-2.7616389,2.7616389,274.0
onset_14d,month,-0.3172927,0.3172927,9.0
onset_14d,rain_days_15d,0.24053377,0.24053377,4.0
onset_14d,olr_climatology,0.17915703,0.17915703,225.9872932434082
onset_14d,dry_days_15d,0.08368227,0.08368227,11.0
onset_14d,rh925,0.081893325,0.081893325,77.45356855496863
onset_14d,rain_15d,0.07431787,0.07431787,100.08527521083418
onset_14d,consecutive_dry_days,0.07195372,0.07195372,5.0
onset_14d,wind_shear,0.052350607,0.052350607,1.505293272481795
onset_14d,dmi,-0.045856882,0.045856882,0.115
onset_14d,u850,0.041467108,0.041467108,-0.6482907641137757
onset_14d,speed925,0.040074628,0.040074628,1.9920198563296012
onset_14d,speed850,-0.032554332,0.032554332,1.200301497652095
onset_14d,RMM1,-0.032530084,0.032530084,-1.5339346
onset_14d,RMM2,0.0278598,0.0278598,-0.53304839
onset_14d,v850,-0.022524634,0.022524634,-0.4547154966596697
onset_14d,rain_days_7d,0.019521512,0.019521512,2.0
onset_14d,rain_5d,0.0186919,0.0186919,1.7058802829009148
onset_14d,rain_30d,-0.018035175,0.018035175,121.50315669780535
onset_14d,rainfall_mm,0.014588439,0.014588439,0.0
onset_14d,oni,-0.014427815,0.014427815,-0.1
onset_14d,olr_anomaly,0.013230787,0.013230787,25.30270004272461
onset_14d,u925,0.012091808,0.012091808,-0.31750634670230277
onset_14d,rh850,0.011689193,0.011689193,89.03067389828473
onset_14d,phase,-0.010901945,0.010901945,1.0
onset_14d,olr,0.010709053,0.010709053,251.2899932861328
onset_14d,rain_3d,0.010564685,0.010564685,0.0
onset_14d,rain_7d,0.010172241,0.010172241,42.35697447824007
onset_14d,amplitude,0.009355824,0.009355824,1.6239138
onset_14d,olr_5d_mean,0.00763175,0.00763175,248.19599609375
onset_14d,v925,0.0060000382,0.0060000382,-1.1635811441189967
onset_14d,olr_3d_mean,0.0056167883,0.0056167883,254.86666361490884
onset_14d,dry_days_7d,0.0037450697,0.0037450697,5.0
break_7d,day_of_year,-4.4536266,4.4536266,274.0
break_7d,monsoon_day,-2.5067115,2.5067115,153.0
break_7d,rain_30d,-0.26850504,0.26850504,121.50315669780535
break_7d,rain_days_15d,-0.26157027,0.26157027,4.0
break_7d,dmi,-0.13897496,0.13897496,0.115
break_7d,olr_climatology,-0.12084144,0.12084144,225.9872932434082
break_7d,rainfall_mm,0.10374856,0.10374856,0.0
break_7d,speed925,0.07819506,0.07819506,1.9920198563296012
break_7d,olr_5d_mean,-0.077684835,0.077684835,248.19599609375
break_7d,olr_anomaly,0.07427258,0.07427258,25.30270004272461
break_7d,dry_days_15d,-0.07349891,0.07349891,11.0
break_7d,RMM2,-0.07137979,0.07137979,-0.53304839
break_7d,RMM1,-0.06676295,0.06676295,-1.5339346
break_7d,speed850,-0.06507483,0.06507483,1.200301497652095
break_7d,u850,-0.05607405,0.05607405,-0.6482907641137757
break_7d,month,-0.05120128,0.05120128,9.0
break_7d,rain_15d,0.050901014,0.050901014,100.08527521083418
break_7d,v925,0.044235274,0.044235274,-1.1635811441189967
break_7d,consecutive_dry_days,0.040474396,0.040474396,5.0
break_7d,rh925,0.025322054,0.025322054,77.45356855496863
break_7d,olr_3d_mean,-0.024372298,0.024372298,254.86666361490884
break_7d,rain_3d,-0.019372903,0.019372903,0.0
break_7d,u925,-0.018185752,0.018185752,-0.31750634670230277
break_7d,olr,0.016068755,0.016068755,251.2899932861328
break_7d,rain_5d,0.009486755,0.009486755,1.7058802829009148
break_7d,rain_7d,0.009072468,0.009072468,42.35697447824007
break_7d,rain_days_7d,0.009003659,0.009003659,2.0
break_7d,v850,-0.005473252,0.005473252,-0.4547154966596697
break_7d,rh850,-0.005110952,0.005110952,89.03067389828473
break_7d,amplitude,0.0035352805,0.0035352805,1.6239138
break_7d,phase,-0.0011983163,0.0011983163,1.0
break_7d,dry_days_7d,-0.0011813549,0.0011813549,5.0
break_7d,oni,-0.00047678166,0.00047678166,-0.1
break_7d,wind_shear,-0.00034925505,0.00034925505,1.505293272481795
break_14d,monsoon_day,-6.3298907,6.3298907,153.0
break_14d,day_of_year,-2.2362165,2.2362165,274.0
